Master;Type;Source;Buckets;Template_Name;Date;version
15;D;15_1;15_Electrique_CC1J4_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1J4_V47;17/6/2020;47
15;W;WEB_15_1;15_Electrique_CC1J4_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1J4_V47;17/6/2020;47
15;D;15_2;15_Electrique_CC1J1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1J1_V47;17/6/2020;47
15;W;WEB_15_2;15_Electrique_CC1J1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1J1_V47;17/6/2020;47
15;D;15_4;15_Electrique_CC1V_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1V_V47;17/6/2020;47
15;W;WEB_15_4;15_Electrique_CC1V_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1V_V47;17/6/2020;47
15;D;15_2;15_Electrique_CC1J2_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1J2_V47;17/6/2020;47
15;W;WEB_15_2;15_Electrique_CC1J2_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1J2_V47;17/6/2020;47
15;D;15_3;15_Electrique_CC1J3_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1J3_V47;17/6/2020;47
15;W;WEB_15_3;15_Electrique_CC1J3_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1J3_V47;17/6/2020;47
15;D;15_5;15_Electrique_CC1K_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1K_V47;17/6/2020;47
15;W;WEB_15_5;15_Electrique_CC1K_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1K_V47;17/6/2020;47
15;D;15_4;15_Electrique_CC1K1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1K1_V47;17/6/2020;47
15;W;WEB_15_4;15_Electrique_CC1K1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1K1_V47;17/6/2020;47
15;D;15_3;15_Electrique_CC1K2_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1K2_V47;17/6/2020;47
15;W;WEB_15_3;15_Electrique_CC1K2_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1K2_V47;17/6/2020;47
