Channel;Device;GateID;N ID;Address;Description;Multiply factor 1;Gate Type 1;GateID1;N ID 1;Operation;Multiply factor 2;Gate Type 2;GateID2;N ID 2;Measured val. 1;Engineering val. 1;Measured val. 2;Engineering val. 2;Decimal digits;Record on historical file;Enable writing to device;Access groups;Apply decimal factor;From gate;Decimal Digits Gate Type;Decimal Digits Gate ID;Decimal Digits N Id
0;0;CMPGate;37;;Name_Conformite_S;1;NUM;NUMGate;37;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;38;;Name_Conformite_S-1;1;NUM;NUMGate;38;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;39;;Name_Conformite_M;1;NUM;NUMGate;39;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;40;;Name_Conformite_M-1;1;NUM;NUMGate;40;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;41;;Name_Conformite_A;1;NUM;NUMGate;41;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;42;;Name_Conformite_A-1;1;NUM;NUMGate;42;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1000;;Name / OBJECTIF Cons Gaz Instantané Total;100;CMP;CMPGate;0;/;1;NUM;ONUMGate;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1001;;Name / OBJECTIF Cons Gaz B;100;CMP;CMPGate;1;/;1;NUM;ONUMGate;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1002;;Name / OBJECTIF INC B;100;CMP;CMPGate;2;/;1;NUM;ONUMGate;2;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1003;;Name / OBJECTIF Ratio B;100;CMP;CMPGate;3;/;1;NUM;ONUMGate;3;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1004;;Name / OBJECTIF Cons Gaz B-1;100;CMP;CMPGate;4;/;1;NUM;ONUMGate;4;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1005;;Name / OBJECTIF INC B-1;100;CMP;CMPGate;5;/;1;NUM;ONUMGate;5;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1006;;Name / OBJECTIF Ratio B-1;100;CMP;CMPGate;6;/;1;NUM;ONUMGate;6;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1007;;Name / OBJECTIF Cons Gaz J;100;CMP;CMPGate;7;/;1;NUM;ONUMGate;7;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1008;;Name / OBJECTIF INC J;100;CMP;CMPGate;8;/;1;NUM;ONUMGate;8;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1009;;Name / OBJECTIF Ratio J;100;CMP;CMPGate;9;/;1;NUM;ONUMGate;9;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1010;;Name / OBJECTIF Cons Gaz J-1;100;CMP;CMPGate;10;/;1;NUM;ONUMGate;10;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1011;;Name / OBJECTIF INC J-1;100;CMP;CMPGate;11;/;1;NUM;ONUMGate;11;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1012;;Name / OBJECTIF Ratio J-1;100;CMP;CMPGate;12;/;1;NUM;ONUMGate;12;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1013;;Name / OBJECTIF Cons Gaz S;100;CMP;CMPGate;13;/;1;NUM;ONUMGate;13;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1014;;Name / OBJECTIF INC S;100;CMP;CMPGate;14;/;1;NUM;ONUMGate;14;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1015;;Name / OBJECTIF Ratio S;100;CMP;CMPGate;15;/;1;NUM;ONUMGate;15;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1016;;Name / OBJECTIF Cons Gaz S-1;100;CMP;CMPGate;16;/;1;NUM;ONUMGate;16;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1017;;Name / OBJECTIF INC S-1;100;CMP;CMPGate;17;/;1;NUM;ONUMGate;17;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1018;;Name / OBJECTIF Ratio S-1;100;CMP;CMPGate;18;/;1;NUM;ONUMGate;18;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1019;;Name / OBJECTIF Cons Gaz M;100;CMP;CMPGate;19;/;1;NUM;ONUMGate;19;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1020;;Name / OBJECTIF INC M;100;CMP;CMPGate;20;/;1;NUM;ONUMGate;20;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1021;;Name / OBJECTIF Ratio M;100;CMP;CMPGate;21;/;1;NUM;ONUMGate;21;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1022;;Name / OBJECTIF Cons Gaz M-1;100;CMP;CMPGate;22;/;1;NUM;ONUMGate;22;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1023;;Name / OBJECTIF INC M-1;100;CMP;CMPGate;23;/;1;NUM;ONUMGate;23;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1024;;Name / OBJECTIF Ratio M-1;100;CMP;CMPGate;24;/;1;NUM;ONUMGate;24;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1025;;Name / OBJECTIF Cons Gaz A;100;CMP;CMPGate;25;/;1;NUM;ONUMGate;25;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1026;;Name / OBJECTIF INC A;100;CMP;CMPGate;26;/;1;NUM;ONUMGate;26;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1027;;Name / OBJECTIF Ratio A;100;CMP;CMPGate;27;/;1;NUM;ONUMGate;27;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1028;;Name / OBJECTIF Cons Gaz A-1;100;CMP;CMPGate;28;/;1;NUM;ONUMGate;28;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1029;;Name / OBJECTIF INC A-1;100;CMP;CMPGate;29;/;1;NUM;ONUMGate;29;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1030;;Name / OBJECTIF Ratio A-1;100;CMP;CMPGate;30;/;1;NUM;ONUMGate;30;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1031;;Name / OBJECTIF INC Live;100;CMP;CMPGate;31;/;1;NUM;ONUMGate;31;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2000;;Name / PARENT Cons Gaz Instantané Total;100;CMP;CMPGate;0;/;1;CMP;PCMPGate;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2001;;Name / PARENT Cons Gaz B;100;CMP;CMPGate;1;/;1;CMP;PCMPGate;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2002;;Name / PARENT INC B;100;CMP;CMPGate;2;/;1;CMP;PCMPGate;2;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2003;;Name / PARENT Ratio B;100;CMP;CMPGate;3;/;1;CMP;PCMPGate;3;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2004;;Name / PARENT Cons Gaz B-1;100;CMP;CMPGate;4;/;1;CMP;PCMPGate;4;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2005;;Name / PARENT INC B-1;100;CMP;CMPGate;5;/;1;CMP;PCMPGate;5;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2006;;Name / PARENT Ratio B-1;100;CMP;CMPGate;6;/;1;CMP;PCMPGate;6;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2007;;Name / PARENT Cons Gaz J;100;CMP;CMPGate;7;/;1;CMP;PCMPGate;7;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2008;;Name / PARENT INC J;100;CMP;CMPGate;8;/;1;CMP;PCMPGate;8;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2009;;Name / PARENT Ratio J;100;CMP;CMPGate;9;/;1;CMP;PCMPGate;9;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2010;;Name / PARENT Cons Gaz J-1;100;CMP;CMPGate;10;/;1;CMP;PCMPGate;10;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2011;;Name / PARENT INC J-1;100;CMP;CMPGate;11;/;1;CMP;PCMPGate;11;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2012;;Name / PARENT Ratio J-1;100;CMP;CMPGate;12;/;1;CMP;PCMPGate;12;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2013;;Name / PARENT Cons Gaz S;100;CMP;CMPGate;13;/;1;CMP;PCMPGate;13;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2014;;Name / PARENT INC S;100;CMP;CMPGate;14;/;1;CMP;PCMPGate;14;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2015;;Name / PARENT Ratio S;100;CMP;CMPGate;15;/;1;CMP;PCMPGate;15;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2016;;Name / PARENT Cons Gaz S-1;100;CMP;CMPGate;16;/;1;CMP;PCMPGate;16;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2017;;Name / PARENT INC S-1;100;CMP;CMPGate;17;/;1;CMP;PCMPGate;17;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2018;;Name / PARENT Ratio S-1;100;CMP;CMPGate;18;/;1;CMP;PCMPGate;18;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2019;;Name / PARENT Cons Gaz M;100;CMP;CMPGate;19;/;1;CMP;PCMPGate;19;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2020;;Name / PARENT INC M;100;CMP;CMPGate;20;/;1;CMP;PCMPGate;20;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2021;;Name / PARENT Ratio M;100;CMP;CMPGate;21;/;1;CMP;PCMPGate;21;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2022;;Name / PARENT Cons Gaz M-1;100;CMP;CMPGate;22;/;1;CMP;PCMPGate;22;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2023;;Name / PARENT INC M-1;100;CMP;CMPGate;23;/;1;CMP;PCMPGate;23;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2024;;Name / PARENT Ratio M-1;100;CMP;CMPGate;24;/;1;CMP;PCMPGate;24;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2025;;Name / PARENT Cons Gaz A;100;CMP;CMPGate;25;/;1;CMP;PCMPGate;25;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2026;;Name / PARENT INC A;100;CMP;CMPGate;26;/;1;CMP;PCMPGate;26;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2027;;Name / PARENT Ratio A;100;CMP;CMPGate;27;/;1;CMP;PCMPGate;27;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2028;;Name / PARENT Cons Gaz A-1;100;CMP;CMPGate;28;/;1;CMP;PCMPGate;28;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2029;;Name / PARENT INC A-1;100;CMP;CMPGate;29;/;1;CMP;PCMPGate;29;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2030;;Name / PARENT Ratio A-1;100;CMP;CMPGate;30;/;1;CMP;PCMPGate;30;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2031;;Name / PARENT INC Live;100;CMP;CMPGate;31;/;1;CMP;PCMPGate;31;0;0;1;1;1;T;F;0;F;F;;;
